,product_name_list,price_lst
138,داناو - عصير بالحليب مدعم ب ٥ فيتامينات ٦*١٨٠ مل,5.0
139,قودي - لايت لحم تونا مع زيت دوار الشمس ١٨٥ غرام,7.0
140,بيتي كروكر - خليط فطائرالبانكيك بزبدة الحليب  ٩٠٧ غرام,14.0
141,شيتوس كرنشي حار نار ٢٠٠ غرام,7.0
142,فيتنس - لوح الرقائق  بالشوكولاتة ٦*٢٣.٥ غرام,16.0
143,تانيا - مياه معدنية ٤٠*٣٣٠ مل,15.0
144,قودي - مكرونة مبرومة ٥٠٠ غرام,4.0
145,توبليرون - ميني شوكولاتة ٢٠٠  غرام,9.0
146,هاينز - طماطم كاتشب  ٩١٠ غرام,18.0
147,دوريتوس - بنكهة جبنة الناتشو ١٨٠ غرام,5.0
148,نسكويك - مسحوق شراب الكاكاو ٤٥٠ غرام,19.0
149,رضوى - قطع دجاج طازجة ٩٠٠ غرام,15.0
150,بيتي كروكر - خليط كيك شوكولاتة سوداء * سوبر مويست * ٥٠٠ غرام,11.0
151,بيبسي دايت ٣٣٠ مل,2.0
152,المراعي - عصير الفواكه المشكلة ١.٥ لتر,4.0
153,جالكسي ميني - شوكولاتة بالحليب ناعمة وغنية ١٥٠ غرام,12.0
154,ليبتون - شاي مثلج بنكهة الخوخ ٦*٣٢٠ مل,11.0
155,المراعي - عصير ليمون ونعناع ١.٥ لتر,4.0
156,ليز - شرائح البطاطس بالكاتشاب ١٤*٢٣ غرام,8.0
157,الشعلان - أرز بسمتي ٥ كغم,35.0
158,ليبيز - حبوب ذرة كاملة ٣*٣٤٠ غرام,9.0
159,قودي - زبدة الفول السوداني خشنة ٥١٠   غرام,13.0
160,الأسرة - سكر ناعم  ١٠ كيلو,26.0
161,كيندر - شوكولاتة ٤ ألواح ٥٠ غرام,2.0
162,قودي - تونة خفيفة بزيت الزيتون ١٦٠ غرام,8.0
163,السنبلة - فاصوليا خضراء مقطعة مجمدة ٤٥٠ غرام,8.0
164,ميستر كريسبس - كرات الجبنة  ٨٠ غرام,7.0
165,باونتي مينيتورس -  قطع شوكولاتة محشوة بجوز الهند ١٥٠ غرام,13.0
166,تشيريوز - حبوب الإفطار بالعسل ٣٧٥ غرام,20.0
167,كيندر جوي - شوكولاتة  للبنات ٢٠ غرام,3.0
168,جرين فارمز - أرز مصري ٥ كيلو جرام,29.0
169,كوكا كولا ٢٥٠ مل,2.0
170,أوريو - كيك مغطى بشوكولاتة كادبوري ١٢*٢٤ غرام,9.0
171,لو ساريتا  - كيك العائلة بالشوكولاتة ٢٣٠ غرام,13.0
172,برينجلز - رقائق البطاطس بالطعم الاصلي ١٦٥غرام,9.0
173,السعودية - معجون الطماطم ١٣٥ غرام,1.0
174,"نخيل - زيت نباتي  ١,٨ لتر",10.0
175,ساديا - أنصاف صدور دجاج مجمدة بدون عظم وبدون جلد ٢.٥ كغم,59.0
176,الوزير - زيت زيتون ٥٠٠ مل,17.0
177,تريفا - لايت لحم تونة مع الزيت النباتي ٨٠ غرام,3.0
178,فلوريدا ناتشورال - عصير بنكهة البرتقال مع اللب ١.٨ لتر,19.0
179,إندومي - شعيرية بنكهة الدجاج ٥*٧٠  غرام,6.0
180,ليز - رقائق البطاطس بالملح ١٤*٢٣ غرام,8.0
181,فوم - دقيق بر١ كغم,2.0
182,ساديا - دجاج مجمد ١١٠٠ غرام,10.0
183,نابيسكو - ريتز بسكويت مالح ٤١ غرام,1.0
184,"العربي - زيت نباتي ١,٨ لتر",16.0
185,بيبسي ٢.٢٥لتر,8.0
186,امريكانا - ناجت الدجاج ٧٥٠ غرام,16.0
187,امريكانا - فلافل بالخلطة الأصلية ٥٠٠ غرام,6.0
188,عافية - زيت ذرة صافي ٢*١.٨ لتر + ٧٥٠ مل,47.0
189,المراعي - عصير بنكهة التوت المشكل ٢٠٠ مل,1.0
190,بيتي كروكر - خليط كيك بنكهة الفانيلا ٥١٧ غرام,11.0
191,أمريكانا - ستربس الدجاج حار و مقرمش ٧٥٠ غرام,19.0
192,نستلة - ماجي شوربة الدجاج بالشعيرية ٦٠ غرام,3.0
193,المراعي - عصير برتقال مع اللب ١.٥ لتر,4.0
194,بنجابي المهيدب - ارز ابيض بسمتي ٥ كيلو,42.0
195,نستله - حليب مكثف محلى ٣*٣٩٥ غرام ١٠٪ خصم,20.0
196,كلوقز - كوكو بوبس رقائق الذرة المقرمشة بالشوكولاتة ٣٧٥ غرام,13.0
197,أروى - مياه شرب ٤٠*٣٣٠ مل,18.0
198,دريم ويب - مزيج من كريمة التزيين المخفوقة ١٤٤ غرام,12.0
199,نوتيلا -كريمة البندق مع الكاكاو قابلة للدهن ٢٠٠ غرام,12.0
200,بيبسي دايت ٢٤*٣٣٠ مل,59.0
201,لورباك - رذاذ الطبخ ٢٠٠ مل,22.0
202,نسكافيه دولتشي - كبسولات قهوة  كابتشينو  ١٨٦.٤ غرام,36.0
203,أولكر - بسكويت الشاي ١٢*٨٠ غرام,12.0
204,كيندر جوي - شوكولاتة للأولاد ٢٠ غرام,3.0
205,النخلة - حلاوة طحينية ساده ٥٠٠ غرام,16.0
206,ليبتون - شاي أحمر ١٠٠ كيس,17.0
207,المراعي - عصير مانجو ٢٠٠ مل,1.0
208,مينيز -  شوكولاتة متنوعة ٥٠٠ غرام,35.0
209,ستيفيانا - محلي خالي السعرات الحرارية ( ١٠٠ كيس ),25.0
210,زيتون أسود اسباني,18.0
211,اليوم - سيقان دجاج ١٠٠٠غرام,22.0
212,اندومي - شعيرية مقلية ٤٠*٧٥  غرام,43.0
213,نستله - كونتري كورن فليكس  ٣٧٥ غرام,12.0
214,السنبلة - سبانخ مجمدة ٤٠٠ غرام,3.0
215,ليز - رقائق البطاطس بالفلفل الحار ٢١غرام,1.0
216,مكفتيز - بسكويت دايجستف مغطى بالشوكولاتة الداكنة ٢٠٠ غرام,9.0
217,حدائق كاليفورنيا - فول مدمس مقشور بالخلطة السرية ٤٥٠ غرام,5.0
218,نستله -  حليب مكثف محلى  ٩٠ غرام,3.0
219,كريستال - شطة حارة ١٧٦ مل,3.0
220,بيتي كروكر - خليط  البراوني بمكعبات الشوكولاتة ٥٠٠ غرام,13.0
221,قودي - مكرونة خواتم صغيرة ٥٠٠ غرام,4.0
222,بون مامان - مربى الفراولة ٣٧٠ غرام,12.0
223,ليز - رقائق البطاطس بالملح والخل ٢٣غرام,1.0
224,قودي - ذرة ذهبية كاملة ١٩٨ غرام,3.0
225,البطل - فشار بنكهة الجبنة ١٢*٢٣ غرام,10.0
226,امريكانا - اصابع الدجاج  ٤٠٠ غرام,9.0
227,السنبلة - بامية زيرو مجمدة ٤٠٠ غرام,8.0
228,المراعي - قشطة معدلة بالزيت النباتي ١٧٠ غرام,3.0
229,كريسبي - شيبس حروف  ٨٠ غرام,3.0
230,نسكويك - حبوب افطار بالشوكولاتة ٦٢٥ غرام,27.0
231,امريكانا - هوت دوج بقري ٤٥٠ غرام,10.0
232,ارم اند هامر - بيكنج صودا ٤٥٤ غرام,8.0
233,فرشلي - صلصة البيتزا  ٤٥٤ غرام,9.0
234,تاك تات - لوز امريكي ٢٥٠ غرام,13.0
235,المراعي - عصير برتقال و أناناس ١.٥ لتر,4.0
236,بلفيتا - كليجا مع الهيل ١٢*٦٢ غرام,12.0
237,غندور يمامة - كيك الفانيليا و الكاكاو ١٢*٢٣ غرام,6.0
238,قودي - شعيرية مقطعة ٥٠٠ غرام,4.0
239,البيكر - طحين فاخر لجميع الاستعمالات  ١ كغم,4.0
240,تويكس - شوكولاتة بايتس ١٧٠ غرام,12.0
241,ساديا - نقانق دجاج مدخنة ٣٤٠ غرام,5.0
242,هاينز - صلصة طماطم ٨×١٣٥ غرام,10.0
243,أولكر - شوكو ساندويش ٢٠*٢٢.٥ غرام,9.0
244,مكفتيز- بسكويت دايجستف مغطى بالشوكولاتة ٣٠٠غرام,9.0
245,نسكافيه  - قهوة رد مج سريعة التحضير ٢٠٠ غرام,32.0
246,قودي - شرائح الأناناس ٥٦٧ غرام,6.0
247,المراعي - عصير المانجو ١.٥ لتر,4.0
248,ليبتون - شاي أسود ١٥٠ كيس,25.0
249,"السنبلة - رقائق هشة ""بف بيستري"" قليلة الدسم ٤٠٠ غرام",8.0
250,السعودية - معجون طماطم ١٦*١٣٥ غرام,10.0
251,سيف - خميرة فورية ١٢٥غرام,5.0
252,نادك -  زيت زيتون بكر ممتاز ٥٠٠ مل,24.0
253,بيريه - مياه غازية ٦*٢٠٠ مل,27.0
254,قودي - لحم تونة خفيف ٩٠ غرام,4.0
255,مكفتيز - بسكويت دايجستيف بالقمح لايت ٤٠٠ غرام,13.0
256,ليز - شرائح البطاطس بالجبنة الفرنسية ١٤*٢٣ غرام,8.0
257,المراعي - عصير توت مشكل ١،٥ لتر,4.0
258,فيمتو - شراب التوت  ٧١٠ مل,10.0
259,سيزر - شراب بنكهة البرتقال والجزر ١ لتر,5.0
260,تريفا - مكرونة سباغيتي ٤٠٠ غرام,3.0
261,كوكو بفس - كرات الحبوب المحلاة بطعم الشوكولاتة ٣٧٥ غرام,22.0
262,تيشوب - بسكويت ماري ١٢*١٠٤ غرام,11.0
263,اكوافينا - مياه شرب معبأة ٦*١،٥ لتر,7.0
264,لامب ويستون - بطاطس أصلية ٢٥٠٠ غرام,22.0
265,المراعي - عصير كوكتيل التفاح ١.٥ لتر,4.0
266,قودي - تندرينا تونة ناعمة ١٨٥ غرام,7.0
267,المراعي - كوكتيل برتقال ١،٥ لتر,4.0
268,برينجلز  -  رقائق بطاطس بالنكهة الأصلية ٢٠٠ غرام ٢٠٪ كمية إضافية,8.0
269,سن توب - شراب بنكهة البرتقال مدعم بفيتامين سي ١٢٥ مل,0.0
270,كندر بوينو - ميني شوكولاتة بالحليب و البندق  ١٠٨ غرام,10.0
271,مونتانا - بامية زيرو مجمدة ٤٠٠ غرام,8.0
272,اكوافينا - مياه شرب معبأة٣٠*٣٣٠ مل,13.0
273,ابو قوس - حليب مبخر أصلي ١٧٠ غرام,2.0
274,قودي - لازانيا ٥٠٠غرام,12.0
275,السنبلة - بامية إكسترا مجمدة ٤٠٠ غرام,8.0
276,يمامة - دبس رمان ٣٠٠  مل,12.0
277,شمس - زيت دوار الشمس ٢*١.٨ لتر,24.0
278,كي دي دي - عصير الأناناس ١٠٠% طبيعي  ١ لتر,7.0
279,الربيع - شراب البرتقال ١٨*١٢٥ مل,9.0
280,نسكافيه جولد - قهوة  سريعة التحضير ٢٠٠ غرام,52.0
281,سان دالفور - مربى الفراولة بدون سكر مضاف ٢٨٤ غرام,19.0
282,وايت سوان - ارز كالروز٥  كيلو,30.0
283,كيت كات - ويفر الشوكولاتة  ٣٦ *٢٠.٥ غرام,27.0
